Week,Bin,Code,Treat,video,Arena,Fish_ID,Sex,Mark,Size,Camera,Stimulus,Day,Tank,Group_ID,Trial,MeanDist,TotalDist,MeanSpeed,MaxSpeed,MeanFreeze,FreqFreeze,TimeFreeze,PercFreeze,Freq5cm,Time5cm,Freq40cm,Time40cm,FreqNear,TimeNear,FreqMid,TimeMid,FreqFar,PercFar
1,9-12,S2,Neg,Snake,Arena 1,133,F,Bro.Bla,16.55,1,3.4,Thursday,1,g0094,Trial    31,0.473158,1064.61,5.91463,21.1188,11.5997,1,11.5997,1.07272,13,41.439,17,26.9593,12,89.6778,21,33.1192,10,57.1986
1,9-12,S2,Neg,Snake,Arena 1,134,F,Bro.Bro,17.338,1,3.4,Thursday,1,g0094,Trial    29,0.387902,872.779,4.84889,16.7553,-,0,0,0,0,0,30,127.197,0,0,3,5.03987,4,174.956
1,9-12,S2,Neg,Snake,Arena 1,142,F,Yel.Pur,16.5,1,3.4,Thursday,1,g0093,Trial    27,0.490987,1104.72,6.13749,19.4793,-,0,0,0,16,26.2393,7,6.39984,13,62.3184,19,84.5579,7,33.1192
1,9-12,S2,Neg,Dot,Arena 1,147,M,Red.Yel,18.57,2,1.4,Thursday,5,g0093,Trial    24,0.330709,1488.19,8.26813,42.7276,-,0,0,0,23,28.1186,11,10.1195,18,109.955,26,30.2385,9,39.798
1,9-12,S2,Pos,zf,Arena 1,166,M,Blu.Red,18.653,2,2.3,Tuesday,5,DTNG02,Trial     6,0.248456,559.026,3.10578,19.6017,0.119997,4,0.479988,0.0443295,5,171.916,1,1.43996,1,176.796,1,1.11997,1,2.07995
1,9-12,S2,Pos,zf,Arena 1,168,M,Pin.Pur,17.859,2,2.3,Tuesday,5,DTNG04,Trial    12,0.349759,786.959,4.3721,14.5828,0.106664,6,0.639984,0.059106,18,147.436,0,0,4,176.796,3,3.19992,0,0
1,9-12,S2,Pos,zf,Arena 1,200,F,Gre.Pur,19.535,1,4.3,Tuesday,1,DTNG01,Trial     5,0.195264,878.687,4.88184,27.8828,0.039998,6,0.239988,0.0221312,8,164.952,1,6.47968,1,171.911,1,0.759962,1,7.31963
1,9-12,S2,Pos,zf,Arena 1,203,F,Gre.Ora,19.1,1,4.3,Tuesday,1,DTNG02,Trial     7,0.251691,1132.61,6.29259,24.5597,0.039998,2,0.079996,0.00739399,4,71.1964,22,37.7981,1,73.9163,11,16.0392,10,90.0355
1,9-12,S2,Neg,Snake,Arena 1,261,F,Red.Blu,19.1,1,3.4,Thursday,1,g0093,Trial    25,0.443582,998.059,5.54491,17.0859,0.079998,3,0.239994,0.0221943,31,107.117,0,0,8,175.356,8,4.63988,0,0
1,9-12,S2,Neg,Dot,Arena 1,264,M,Pin.Yel,17.39,2,1.4,Thursday,5,g0093,Trial    26,0.419557,1888,10.4894,40.6654,-,0,0,0,29,23.1188,6,12.8394,21,134.193,25,22.9189,5,22.8789
1,9-12,S2,Neg,Dot,Arena 1,267,M,Blu.Red,16.304,2,1.4,Thursday,5,g0094,Trial    30,0.40712,1832.04,10.1785,64.99,-,0,0,0,14,12.2394,14,10.3595,25,63.0368,53,59.357,29,57.5971
1,9-12,S2,Neg,Dot,Arena 1,6521,M,Bro.Whi,16.015,2,1.4,Thursday,5,g0095,Trial    34,0.423483,1905.67,10.5876,32.5556,0.059997,2,0.119994,0.0110861,27,40.838,18,14.9593,7,74.7563,30,40.438,24,64.7968
1,15-18,A,Amb,zfSil,Arena 1,9,F,Yel.Bro,18.743,1,4.3,Tuesday,1,DTNG01,Trial     3,0.18438,829.71,4.60973,21.4938,-,0,0,0,18,132.753,2,2.71986,5,167.232,6,4.11979,2,8.63957
